A1	Jean-Paul Calbimonte
A753	Jeff Waters
A754	Marion G. Ceruti
A755	Mikko Rinne
A756	Anna Lisa Gentile
A757	Ziqi Zhang
A758	Sara Cohen
A759	Daniel Blum
A760	Andreas Blumauer
A761	Miguel Delgado
A762	Fernando Bobillo
A763	Juan Gómez-Romero
A764	Umberto Straccia
A765	Jürgen Bock
A766	Matthias Stumpp
A767	Carsten Dänschel
A768	Jan Hettenhausen
A769	Alexander Lenk
A770	Peng Liu 
A771	Rodney W. Topor
A772	Tuvshintur Tserendorj
A773	Stephan Grimm
A774	Jens Wissmann
A775	Yongchun Xu
A776	Olivier Bodenreider
A777	Rossana Damiano
A778	Guido Boella
A779	Leonardo Lesmo
A780	Viktor de Boer
A781	Matthias van Rossum
A782	Rik Hoekstra
A783	Jurjen Leinenga
A784	Philip Groth
A785	Ulf Leser
A786	Christoph Böhm 
A787	Marko Luther
A788	Matthias Wagner 
A789	Johan Koolwaaij
A790	Bertrand Souville
A791	Sebastian Böhm
A792	Martin Wibbels
A793	Henson Graves
A794	Michel Böhms
A795	David Leal
A796	Uldis Bojars
A797	Edgars Celms
A798	Renars Liepins
A799	Normunds Gruzitis
A800	Karlis Cerans
A801	Harold Boley
A802	Said Tabet
A803	Marco Faella
A804	Luigi Sauro
A805	Piero A. Bonatti
A806	Iliana M. Petrova
A807	Dario Bonino
A808	Fulvio Corno
A809	Pieter Bonte
A810	Eveline Hoogstoel
A811	Filip De Turck
A812	Femke Ongenae
A813	Erik Mannens
A814	Jeroen Schaballie
A815	Robby Wauters
A816	Ruben Verborgh
A817	Dörthe Arndt
A818	Philip Leroux
A819	Aidan Boran
A820	Declan O'Sullivan
A821	Vincent P. Wade
A822	Stefan Borgwardt
A823	Dana Dannélls
A824	Markus Forsberg
A825	Lars Borin
A826	John P. McCrae
A827	Joaquín Borrego-Díaz
A828	Antonia M. Chávez-González
A829	Stefano Bortoli
A830	Barbara Bazzanella
A831	Paolo Bouquet
A832	Thomas Bosch
A833	Miguel Ceriani
A834	Paolo Bottoni
A835	Simona Valentini
A836	Martin Hurrell
A837	Matt-Mouley Bouamrane
A838	Alan L. Rector
A839	Amanda Bouffier
A840	Gosse Bouma
A841	Giovanni Adinolfi
A842	Lorenzo Zeni
A843	Stefano Zanobini
A844	Danièle Bourcier
A845	Amancio Bouza
A846	Gerald Reif
A847	Harald C. Gall
A848	Shawn Bowers
A849	Rich Williams
A850	David Thau
A851	Bertram Ludäscher
A852	Bojan Bozic
A853	Dunja Mladenic
A854	Carolina Fortuna
A855	Blaz Fortuna
A856	Alexandra Moraru
A857	Luka Bradesko
A858	Irene Celino
A859	Dario Cerizza
A860	Federico Michele Facca
A861	Stefano Ceri
A862	Freddy Brasileiro
A863	João Paulo A. Almeida
A864	Giancarlo Guizzardi
A865	Victorio_A= Carvalho
A866	Andreas P. Schmidt
A867	Andreas Walter
A868	Valentin Zacharias
A869	Simone Braun
A870	Alexa Breuing
A871	Thies Pfeiffer
A872	Stefan Kopp
A873	André Valente
A874	Radboud Winkels
A875	Dougald Hine
A876	S. Buswell
A877	Dan Brickley
A878	Brian Matthews
A879	Michael D. Wilson
A880	D. Reynolds
A881	L. Miller
A882	Paolo Giorgini
A883	Marco Combetto
A884	Stefano Brida
A885	Silvano Frasson
A886	V. S. Subrahmanian
A887	Andrea Pugliese
A888	Matthias Broecheler
A889	Saartje Brockmans
A890	Elisa F. Kendall
A891	Guo Tong Xie
A892	Robert M. Colomb
A893	Evan K. Wallace
A894	Christopher A. Welty
A895	Andreas Eberhart
A896	Peter Löffler
A897	Jeen Broekstra
A898	Arjohn Kampman
A899	Thomas Everding
A900	Sven Schade
A901	Arne Bröring
A902	Christoph Stasch
A903	Alejandro Llaves
A904	Sven Siorpaes
A905	Albrecht Schmidt 
A906	John Hamard
A907	Gregor Broll
A908	Enrico Rukzio
A909	Jos de Bruijn
A910	Stijn Heymans
A911	Tereza Iofciu
A912	Enrico Minack
A913	Ekaterini Ioannou
A914	Stefania Costache
A915	Paul-Alexandru Chirita
A916	Raluca Paiu
A917	Ingo Brunkhorst
A918	Julien Gaugaz
A919	Omar Chiotti
A920	Graciela Brusa
A921	María Laura Caliusco
A922	Sebastian Schaffert
A923	François Bry
A924	Heiko Paulheim
A925	Volha Bryl
A926	Kateryna Tymoshenko
A927	Hatim Aouzal
A928	Thierry Bergeron
A929	Michel Buffa
A930	Ricardo Usbeck
A931	Axel-Cyrille Ngonga Ngomo
A932	Disheng Qiu
A933	Muhammad Saleem
A934	Paolo Merialdo
A935	Andreas Both
A936	Valter Crescenzi
A937	Hans-Arno Jacobsen
A938	Milenko Petrovic
A939	Ioana Burcea
A940	Steffen Lohmann
A941	Michael Burch
A942	Grégoire Burel
A943	Lara Schibelsky G. Piccolo
A944	Ulf Hermjakob
A945	Gully A. P. C. Burns
A946	Drew McDermott
A947	François Goasdoué
A948	Damian Bursztyn
A949	Shepherd Liu
A950	Anila Sahar Butt
A951	Lexing Xie
A952	Pieter Colpaert
A953	Raf Buyle
A954	Veronique Volders
A955	Mathias Van Compernolle
A956	Peter Mechant
A957	Kavitha Srinivas
A958	Min Wang
A959	Aditya Kalyanpur
A960	Brian Byrne
A961	Achille Fokoue
A962	Michael Compton
A963	Liliana Cabral
A964	Heiko Müller
A965	John Domingue
A966	Stefania Galizia
A967	Barry Norton
A968	Vlad Tanasescu
A969	Carlos Pedrinaci
A970	Alessio Gugliotta
A971	Serena Villata
A972	Elena Cabrio
A973	Fabien L. Gandon
A974	Julien Cojan
A975	Bernardo Magnini
A976	Óscar Corcho
A977	Alejandro Fernández-Carrera
A978	Hoyoung Jeung
A979	Sofiane Sarni
A980	Julien Eberle
A981	Zhixian Yan
A982	Silvia Calegari
A983	Elie Sanchez
A984	Andrea Calì
A985	Thomas Lukasiewicz
A986	Livia Predoiu
A987	Martin Giese
A988	Dag Hovland
A989	Martín Rezk
A990	Maurizio Lenzerini
A991	Giuseppe De Giacomo
A992	Werner Nutt
A993	Dmitriy Zheleznyakov
A994	Evgeny Kharlamov
A995	Geoffrey Squire
A996	Jemma Wu
A997	David Ratcliffe
A998	John Colton
A999	Stéphane Campinas
A1000	Murat Osman Ünalir
A1001	Özgü Can
A1002	Amparo Elizabeth Cano
A1003	Yulan He
A1004	Bin Cao
A1005	Girish Subramanian
A1006	Beth Plale
A1007	Yogesh L. Simmhan
A1008	Paolo Missier
A1009	Luiz André P. Paes Leme
A1010	Stefan Dietze
A1011	Bernardo Pereira Nunes
A1012	Giseli Rabello Lopes
A1013	Alexander Arturo Mera Caraballo
A1014	Marco A. Casanova
A1015	Caterina Caracciolo
A1016	Ryutaro Ichise
A1017	Vojtech Svátek
A1018	Juan Pane
A1019	Antonino Rotolo
A1020	Cristian Cardellino
A1021	Guido Governatori
A1022	Brian Lam
A1023	Elena Cardillo
A1024	Lucilla Frattura
A1025	Maria Teresa Chiaravalloti
A1026	Vincenzo Della Mea
A1027	Roberto Guarasci
A1028	Claudio Eccher
A1029	Erika Pasceri
A1030	Antonietta Folino
A1031	Roberto Trunfio
A1032	John A. Miller
A1033	Jeff Pollock
A1034	Jianwen Su
A1035	Jorge S. Cardoso
A1036	Gordon Watts
A1037	Pascal Hitzler
A1038	Suenje Dallmeier-Tiessen
A1039	Kati Lassila-Perini
A1040	Elizabeth Sexton-Kennedy
A1041	Adila Krisnadhi
A1042	Charles Vardeman
A1043	Michael D. Hildreth
A1044	Patricia Herterich
A1045	Cristina Feier
A1046	Jeremy J. Carroll
A1047	Patrick Stickler
A1048	Patrick J. Hayes
A1049	Danilo S. Carvalho
A1050	Cagatay Calli
A1051	Edward Curry
A1052	André Freitas
A1053	Kathryn B. Laskey
A1054	Paulo Cesar G. da Costa
A1055	Gilson Libório Mendes
A1056	Rafael Mezzomo de Souza
A1057	Henrique A. Da Rocha
A1058	Licia Fiorentini
A1059	Anna Rovella
A1060	Federica Rizzoli
A1061	Stefania Sparaco
A1062	Chiara Di Francescomarino
A1063	Alessandro Tabarroni
A1064	Luca Franci
A1065	Cristiano Casagni
A1066	Matteo Gerosa
A1067	Marco Rospocher
A1068	Cristiana Santos
A1069	Asunción Gómez-Pérez
A1070	Víctor Rodríguez-Doncel
A1071	Ivan José Varzinczak
A1072	Thomas Andreas Meyer
A1073	Kodylan Moodley
A1074	Giovanni Casini
A1075	Silvana Castano
A1076	Gianpaolo Messa
A1077	Bene Rodriguez-Castro
A1078	Dominik Benz
A1079	Steve Cayzer
A1080	Paolo Castagna
A1081	Valentina Dragos
A1082	Sylvie Desprès
